EMS ID,LOCATION NAME,LONGITUDE (Decimal Degrees),LATITUTE (Decimal Degrees),LONGITUDE (Deg-Min-Sec),LATITUDE (Deg-Min-Sec),START DATE,STATE DESCRIPTION,DESCRIPTOR CODE,DESCRIPTOR DESCRIPTION,CLASS CODE,CLASS DESCRIPTION,METHOD CODE,METHOD DESCRIPTION,SAMPLING AGENCY,ANALYZING AGENCY,MINISTRY CONTACT,SAMPLER,UPPER DEPTH,LOWER DEPTH,FLOW,FLOW_UNIT,Parm Code/Units,PARAMETER NAME,RESULT LETTER,Results,CONFIDENCE INTERVAL,MAXIMUM,MINIMUM,UNCERTAINTY,LIFE STAGE,SPECIES CODE,SPECIES NAME
"0300083","CAPILANO R NEAR MARINE DRIVE",  123.134295,   49.324341,123-08--3.462,49-19--27.6276,2023/10/03 09:05,"Fresh Water","GE","General","REG","Regular","GRB","Grab - Discrete Samples","20","ALS","","Kristy Gabelhouse    Rebecca Grange",     .5000,,"","", 1-Methylnaphthalene (mg/L),"1-Methylnaphthalene","<",.00001,,,,,"","",""
"0300083","CAPILANO R NEAR MARINE DRIVE",  123.134295,   49.324341,123-08--3.462,49-19--27.6276,2023/10/03 09:05,"Fresh Water","GE","General","REG","Regular","GRB","Grab - Discrete Samples","20","ALS","","Kristy Gabelhouse    Rebecca Grange",     .5000,,"","", 13BDE100 (%),"13BDE100","",40,,,,,"","",""
"0300083","CAPILANO R NEAR MARINE DRIVE",  123.134295,   49.324341,123-08--3.462,49-19--27.6276,2023/10/03 09:05,"Fresh Water","GE","General","REG","Regular","GRB","Grab - Discrete Samples","20","ALS","","Kristy Gabelhouse    Rebecca Grange",     .5000,,"","", 13BDE126 (%),"13BDE126","",63,,,,,"","",""
"0300083","CAPILANO R NEAR MARINE DRIVE",  123.134295,   49.324341,123-08--3.462,49-19--27.6276,2023/10/03 09:05,"Fresh Water","GE","General","REG","Regular","GRB","Grab - Discrete Samples","20","ALS","","Kristy Gabelhouse    Rebecca Grange",     .5000,,"","", 13BDE138 (%),"13BDE138","",67,,,,,"","",""
"0300083","CAPILANO R NEAR MARINE DRIVE",  123.134295,   49.324341,123-08--3.462,49-19--27.6276,2023/10/03 09:05,"Fresh Water","GE","General","REG","Regular","GRB","Grab - Discrete Samples","20","ALS","","Kristy Gabelhouse    Rebecca Grange",     .5000,,"","", 13BDE153 (%),"13BDE153","",43,,,,,"","",""
"0300083","CAPILANO R NEAR MARINE DRIVE",  123.134295,   49.324341,123-08--3.462,49-19--27.6276,2023/10/03 09:05,"Fresh Water","GE","General","REG","Regular","GRB","Grab - Discrete Samples","20","ALS","","Kristy Gabelhouse    Rebecca Grange",     .5000,,"","", 13BDE154 (%),"13BDE154","",42,,,,,"","",""
"0300083","CAPILANO R NEAR MARINE DRIVE",  123.134295,   49.324341,123-08--3.462,49-19--27.6276,2023/10/03 09:05,"Fresh Water","GE","General","REG","Regular","GRB","Grab - Discrete Samples","20","ALS","","Kristy Gabelhouse    Rebecca Grange",     .5000,,"","", 13BDE183 (%),"13BDE183","",45,,,,,"","",""
"0300083","CAPILANO R NEAR MARINE DRIVE",  123.134295,   49.324341,123-08--3.462,49-19--27.6276,2023/10/03 09:05,"Fresh Water","GE","General","REG","Regular","GRB","Grab - Discrete Samples","20","ALS","","Kristy Gabelhouse    Rebecca Grange",     .5000,,"","", 13BDE197 (%),"13BDE197","",48,,,,,"","",""
"0300083","CAPILANO R NEAR MARINE DRIVE",  123.134295,   49.324341,123-08--3.462,49-19--27.6276,2023/10/03 09:05,"Fresh Water","GE","General","REG","Regular","GRB","Grab - Discrete Samples","20","ALS","","Kristy Gabelhouse    Rebecca Grange",     .5000,,"","", 13BDE207 (%),"13BDE207","",60,,,,,"","",""
"0300083","CAPILANO R NEAR MARINE DRIVE",  123.134295,   49.324341,123-08--3.462,49-19--27.6276,2023/10/03 09:05,"Fresh Water","GE","General","REG","Regular","GRB","Grab - Discrete Samples","20","ALS","","Kristy Gabelhouse    Rebecca Grange",     .5000,,"","", 13BDE209 (%),"13BDE209","",47,,,,,"","",""
"0300083","CAPILANO R NEAR MARINE DRIVE",  123.134295,   49.324341,123-08--3.462,49-19--27.6276,2023/10/03 09:05,"Fresh Water","GE","General","REG","Regular","GRB","Grab - Discrete Samples","20","ALS","","Kristy Gabelhouse    Rebecca Grange",     .5000,,"","", 13C6HBB (%),"13C6HBB","",36,,,,,"","",""
"0300083","CAPILANO R NEAR MARINE DRIVE",  123.134295,   49.324341,123-08--3.462,49-19--27.6276,2023/10/03 09:05,"Fresh Water","GE","General","REG","Regular","GRB","Grab - Discrete Samples","20","ALS","","Kristy Gabelhouse    Rebecca Grange",     .5000,,"","", 13CBDE15 (%),"13CBDE15","",24,,,,,"","",""
"0300083","CAPILANO R NEAR MARINE DRIVE",  123.134295,   49.324341,123-08--3.462,49-19--27.6276,2023/10/03 09:05,"Fresh Water","GE","General","REG","Regular","GRB","Grab - Discrete Samples","20","ALS","","Kristy Gabelhouse    Rebecca Grange",     .5000,,"","", 13CBDE28 (%),"13CBDE28","",38,,,,,"","",""
"0300083","CAPILANO R NEAR MARINE DRIVE",  123.134295,   49.324341,123-08--3.462,49-19--27.6276,2023/10/03 09:05,"Fresh Water","GE","General","REG","Regular","GRB","Grab - Discrete Samples","20","ALS","","Kristy Gabelhouse    Rebecca Grange",     .5000,,"","", 13CBDE47 (%),"13CBDE47","",46,,,,,"","",""
"0300083","CAPILANO R NEAR MARINE DRIVE",  123.134295,   49.324341,123-08--3.462,49-19--27.6276,2023/10/03 09:05,"Fresh Water","GE","General","REG","Regular","GRB","Grab - Discrete Samples","20","ALS","","Kristy Gabelhouse    Rebecca Grange",     .5000,,"","", 13CBDE77 (%),"13CBDE77","",56,,,,,"","",""
"0300083","CAPILANO R NEAR MARINE DRIVE",  123.134295,   49.324341,123-08--3.462,49-19--27.6276,2023/10/03 09:05,"Fresh Water","GE","General","REG","Regular","GRB","Grab - Discrete Samples","20","ALS","","Kristy Gabelhouse    Rebecca Grange",     .5000,,"","", 13CBDE99 (%),"13CBDE99","",51,,,,,"","",""
"0300083","CAPILANO R NEAR MARINE DRIVE",  123.134295,   49.324341,123-08--3.462,49-19--27.6276,2023/10/03 09:05,"Fresh Water","GE","General","REG","Regular","GRB","Grab - Discrete Samples","20","ALS","","Kristy Gabelhouse    Rebecca Grange",     .5000,,"","", 2-Methylnaphthalene (mg/L),"2-Methylnaphthalene","<",.00001,,,,,"","",""
"0300083","CAPILANO R NEAR MARINE DRIVE",  123.134295,   49.324341,123-08--3.462,49-19--27.6276,2023/10/03 09:05,"Fresh Water","GE","General","REG","Regular","GRB","Grab - Discrete Samples","20","ALS","","Kristy Gabelhouse    Rebecca Grange",     .5000,,"","", 6PPD-Quinone (mg/L),"6PPD-Quinone","<",.000001,,,,,"","",""
"0300083","CAPILANO R NEAR MARINE DRIVE",  123.134295,   49.324341,123-08--3.462,49-19--27.6276,2023/10/03 09:05,"Fresh Water","GE","General","REG","Regular","GRB","Grab - Discrete Samples","20","ALS","","Kristy Gabelhouse    Rebecca Grange",     .5000,,"","", Acenaphthene (mg/L),"Acenaphthene","<",.00001,,,,,"","",""
"0300083","CAPILANO R NEAR MARINE DRIVE",  123.134295,   49.324341,123-08--3.462,49-19--27.6276,2023/10/03 09:05,"Fresh Water","GE","General","REG","Regular","GRB","Grab - Discrete Samples","20","ALS","","Kristy Gabelhouse    Rebecca Grange",     .5000,,"","", Acenaphthylene (mg/L),"Acenaphthylene","<",.00001,,,,,"","",""
"0300083","CAPILANO R NEAR MARINE DRIVE",  123.134295,   49.324341,123-08--3.462,49-19--27.6276,2023/10/03 09:05,"Fresh Water","GE","General","REG","Regular","GRB","Grab - Discrete Samples","20","ALS","","Kristy Gabelhouse    Rebecca Grange",     .5000,,"","", Acridine (mg/L),"Acridine","<",.00001,,,,,"","",""
"0300083","CAPILANO R NEAR MARINE DRIVE",  123.134295,   49.324341,123-08--3.462,49-19--27.6276,2023/10/03 09:05,"Fresh Water","GE","General","REG","Regular","GRB","Grab - Discrete Samples","20","ALS","","Kristy Gabelhouse    Rebecca Grange",     .5000,,"","", Ag-D (mg/L),"Ag-D","<",.000005,,,,,"","",""
"0300083","CAPILANO R NEAR MARINE DRIVE",  123.134295,   49.324341,123-08--3.462,49-19--27.6276,2023/10/03 09:05,"Fresh Water","GE","General","REG","Regular","GRB","Grab - Discrete Samples","20","ALS","","Kristy Gabelhouse    Rebecca Grange",     .5000,,"","", Ag-T (mg/L),"Ag-T","<",.000005,,,,,"","",""
"0300083","CAPILANO R NEAR MARINE DRIVE",  123.134295,   49.324341,123-08--3.462,49-19--27.6276,2023/10/03 09:05,"Fresh Water","GE","General","REG","Regular","GRB","Grab - Discrete Samples","20","ALS","","Kristy Gabelhouse    Rebecca Grange",     .5000,,"","", Al-D (mg/L),"Al-D","",.0251,,,,,"","",""
